,sno,complaint,complaint_description,complaint_type,recieved_date,incident_date,county,incident_closed_date,incident_status_desc,incident_zip
777,778,120285,concern of illegal painting operation,Other,2022-12-14,2022-12-14,Prince George's,2023-02-17,Incident Closed-Managed,20781
778,779,120285,concern of illegal painting operation,Other,2022-12-14,2022-12-14,Prince George's,2023-02-17,Incident Closed-Managed,
779,780,120284,Concern of illegal painting operation.,Other,2022-12-14,2022-12-14,Prince George's,2022-12-16,Incident Closed-Managed,
780,781,120283,Concern of illegal painting operation,Other,2022-12-14,2022-12-14,Prince George's,2023-01-04,Incident Closed-Managed,
781,782,120281,concern of indoor air quality,Other,2022-12-14,2022-12-14,Prince George's,2022-12-16,Incident Closed-Managed,
782,783,120280,concern odor of burnt coffee in the Cheverly area,Other,2022-12-07,2022-12-07,Prince George's,2023-01-18,Incident Closed-Managed,
783,784,120276,He smells an industrial odor in the residential neighborhood.,Odor,2022-12-09,2022-12-09,Baltimore City,2022-12-14,Incident Closed-Managed,
784,785,120275,He smells an industrial odor in the residential neighborhood.,Odor,2022-12-05,2022-12-05,Baltimore City,2022-12-14,Incident Closed-Managed,
785,786,120274,He smells an industrial odor in the residential neighborhood.,Odor,2022-12-04,2022-12-04,Baltimore City,2022-12-14,Incident Closed-Managed,
786,787,120273,The cannabis dispensary is causing odor in the neighborhood.,Odor,2022-11-28,2022-11-28,Baltimore City,2022-12-14,Incident Closed - No further action,
787,788,120272,A contractor is renovating a business next door creating dust with no precautions.,Fugitive Dust/Particulate Matter,2022-11-30,2022-11-30,Baltimore City,2022-12-14,Incident Closed-Managed,
788,789,120271,He smells an industrial odor in the residential neighborhood.,Odor,2022-12-27,2022-11-27,Baltimore City,2022-12-14,Incident Closed-Managed,
789,790,120270,He smells an industrial odor in the residential neighborhood.,Odor,2022-12-23,2022-12-23,Baltimore City,2022-12-14,Incident Closed-Managed,
790,791,120268,He smells an industrial odor in the residential neighborhood.,Odor,2022-12-21,2022-11-21,Baltimore City,2022-12-14,Incident Closed-Managed,
791,792,120263,Leaking Fuel Tank,"Abandoned Drums/Tanks, Oil Release/Spill",2022-12-09,2022-12-09,Allegany,,Referred to LMA,21502
792,793,120262,Open Burning,Open Burning,2022-12-09,2022-12-09,Washington,,Referred to Outside Agency,21783
793,794,120257,Open burning creating black smoke.,Open Burning,2022-12-12,2022-12-11,Dorchester,2023-01-19,Incident Closed-Managed,21835
794,795,120254,Autobody-Improper Ventilation,Other,2022-11-29,2022-11-29,Washington,2024-01-31,Incident Closed - No further action,21750
795,796,120248,Illegal Autobody,Suspected Operation without Permit,2022-11-29,2022-11-29,Washington,2024-02-05,Incident Closed - No further action,21750
796,797,120238,Odor from material spread on farm field,Odor,2022-12-01,2022-12-01,Dorchester,,Referred to Outside Agency,21613
797,798,120235,Indoor air quality from heating and AC units,ARA AQCP non-regulated entity,2022-11-30,,Baltimore,2022-12-06,Incident Closed - No further action,
798,799,120231,Neighbor is burning rubber products,"Fumes, Open Burning",2022-11-29,2022-11-29,Cecil,2022-12-02,Incident Closed - No further action,
799,800,120227,Indoor air quality issues from heating and AC.,Other,2022-11-28,,Baltimore,,Incident Not Applicable to MDE,
800,801,120226,Open burning of landscaping business debris creating a nuisance.,Open Burning,2022-11-22,2022-11-22,Dorchester,2022-12-28,Incident Closed-Managed,21613
801,802,120225,concern of apartment after a fire outbreak,Other,2022-11-29,2022-11-29,Prince George's,2022-11-30,Incident Closed-Managed,
802,803,120223,Car engine shop is creating fumes,Fumes,2022-11-23,,Baltimore,2023-02-23,Incident Closed - No further action,
803,804,120219,Odor from a wood craft vendor at the Craft Fair.,Air,2022-11-28,2022-11-23,Anne Arundel,2022-11-28,Incident Closed-No Violation Observed,
804,805,120218,Freon releases from HVAC equipment.,Air,2022-11-28,2022-11-22,Anne Arundel,2022-11-28,Incident Closed - No further action,21032
805,806,120217,Odor from wood craft cutting inside building #12 at the Christmas Craft fair.,Air,2022-11-28,2022-11-22,Anne Arundel,2022-11-28,Incident Closed-No Violation Observed,
806,807,120216,Freon releases from HVAC equipment.,Air,2022-11-28,2022-11-21,Anne Arundel,2022-11-28,Incident Closed - No further action,21032
807,808,120215,Freon releases from HVAC equipment.,Air,2022-11-28,2022-11-21,Anne Arundel,2022-11-28,Incident Closed - No further action,21032
808,809,120214,Odor from burning trash creating a nuisance on a regular basis.,Odor,2022-11-23,2022-11-23,Dorchester,2022-11-29,Incident Closed-No Violation Observed,21631
809,810,120213,Car engine shop is creating fumes,Fumes,2022-11-22,,Baltimore,2023-02-23,Incident Closed - No further action,
810,811,120211,Odor Complaint,Odor,2022-11-11,2022-11-11,Dorchester,2022-11-11,Incident Closed - No further action,21835
811,812,120210,Smoke and chemical odor,Odor,2022-11-18,2022-11-18,Queen Anne's,2022-11-21,Incident Closed - No further action,21658
812,813,120209,bad odors,Odor,2022-11-16,2022-11-16,Dorchester,2022-11-18,Incident Closed-No Violation Observed,21643
813,814,120207,Concerned with the amount of lawn care equipment operated by company. Odors related to fuel.,"Air, Fumes, Odor",2022-11-17,2022-11-17,Montgomery,,Referred to Outside Agency,
814,815,120205,Caller described dust escaping from top of baghouse of lime silo at DAP Products during lime delivery.,Fugitive Dust/Particulate Matter,2022-11-01,2022-10-31,Baltimore,2024-01-04,Incident Closed-Managed,21219
815,816,120204,Mold/ mildew inside home,"Air, Other",2022-11-16,2022-11-16,Montgomery,2022-11-18,Incident Closed - No further action,
816,817,120201,He smells an industrial odor in the residential neighborhood.,Odor,2022-11-11,2022-11-11,Baltimore City,2022-11-17,Incident Closed-Managed,
817,818,120200,He smells an industrial odor in the residential neighborhood.,Odor,2022-11-10,2022-11-10,Baltimore City,2022-11-17,Incident Closed-Managed,
818,819,120199,He smells an industrial odor in the residential neighborhood.,Odor,2022-11-06,2022-11-06,Baltimore City,2022-11-17,Incident Closed-Managed,
819,820,120198,He smells an industrial odor in the residential neighborhood.,Odor,2022-11-05,2022-11-05,Baltimore City,2022-11-17,Incident Closed-Managed,
820,821,120197,He smells an industrial odor in the residential neighborhood.,Odor,2022-11-04,2022-11-04,Baltimore City,2022-11-17,Incident Closed-Managed,
821,822,120190,Smoke from open burning reaching homeowner's residence.,Air,2022-11-16,2022-11-15,Anne Arundel,2022-11-16,Incident Closed - No further action,
822,823,120189,Dust from cutting masonry bricks without wet suppression.,Air,2022-11-16,2022-11-15,Frederick,2022-11-16,Incident Closed - No further action,
823,824,120188,Severe odors emanating from Kilby Farm,"Air, Odor",2022-11-08,2022-11-08,Cecil,,Referred to Outside Agency,21917
824,825,120186,Severe odors emanating from Kilby Farm in Rising Sun,"Air, Odor",2022-11-06,2022-11-06,Cecil,,Referred to Outside Agency,21917
825,826,120184,Exhaust fumes from tractor trailer right next to home.,Fumes,2022-11-10,2022-11-10,Dorchester,,Referred to Outside Agency,21659
826,827,120183,Dust from crushing & screening from Tolson Rubblefill.  Residence in close proximity to activity.  Requests activity to be moved to different location at site and to  plant some evergreen trees.,Air,2022-11-14,2022-11-14,Anne Arundel,2022-11-15,Incident Closed-No Violation Observed,
827,828,120179,Odor of burning tires,Odor,2022-11-09,,Baltimore,2022-11-15,Incident Closed - No further action,
828,829,120178,Car engine shop is creating fumes.,Fumes,2022-11-09,,Baltimore,2023-02-23,Incident Closed - No further action,21222
829,830,120175,Neighbor burning leaves too close to other homes.,Open Burning,2022-11-07,2022-11-07,Somerset,2022-11-08,Incident Closed-No Violation Observed,21817
830,831,120172,Chemical odor inside her house.,Air,2022-11-08,2022-11-07,Frederick,2022-11-10,Incident Closed-No Violation Observed,
831,832,120170,Dark smoke from open burning in yard.,Air,2022-11-07,2022-11-07,Anne Arundel,,Under Investigation,
832,833,120168,concern of visible emission from a burger king restaurant,Other,2022-10-28,2022-10-28,Howard,2022-11-07,Incident Closed-Managed,
833,834,120167,"Concerned with practices at site, including a specific adhesive used","Air, Other",2022-10-25,2022-10-25,Carroll,2022-11-09,Incident Closed-Managed,21074
834,835,120164,Dust from sandblasting and spray painting vehicles at the Grables Commercial Painting.,Air,2022-11-04,2022-11-03,Frederick,,Under Investigation,
835,836,120163,Dust from sandblasting and painting vehicles at Grables Commercial Painting.,Air,2022-11-04,2022-11-04,Frederick,,Under Investigation,
836,837,120158,"Smoke from open burning of trash, other items in yard.",Air,2022-11-03,2022-11-02,Anne Arundel,,Under Investigation,
837,838,120157,Unknown.  Called/no answer.,Air,2022-11-03,2022-10-26,Anne Arundel,2022-11-03,Incident Closed-No Violation Observed,
838,839,120156,Smoke from neighbor's wood burning stove.,Air,2022-11-03,2022-10-20,Frederick,2022-11-03,Incident Closed - No further action,
839,840,120155,Very strong sulfur odor in the area around American Yeast.,Odor,2022-09-27,2022-09-27,Baltimore,2022-09-27,Incident Closed-Managed,21222
840,841,120152,He smells an industrial odor in the residential neighborhood.,Odor,2022-10-30,2022-10-30,Baltimore City,2022-11-02,Incident Closed-Managed,
841,842,120151,He smells an industrial odor in the residential neighborhood.,Odor,2022-10-29,2022-10-29,Baltimore City,2022-11-02,Incident Closed-Managed,
842,843,120149,He smells an industrial odor in the residential neighborhood.,Odor,2022-10-22,2022-10-22,Baltimore City,2022-11-02,Incident Closed-Managed,
843,844,120148,He smells an industrial odor in the residential neighborhood.,Odor,2022-10-21,2022-10-21,Baltimore City,2022-11-02,Incident Closed-Managed,
844,845,120147,Company (DPS Automotive) is spray painting vehicles at their facility and paint fumes are being released into the air.,"Air, Fumes, Odor",2022-10-27,2022-10-27,Montgomery,2023-04-27,Incident Closed-Managed,20852
845,846,120146,Mold remediation occurred and wants an inspection to verify all has been removed.,ARA AQCP non-regulated entity,2022-10-21,2022-10-21,Baltimore City,2022-11-02,Incident Closed - No further action,
846,847,120145,He smells an industrial odor in the residential neighborhood.,Odor,2022-10-16,2022-10-16,Baltimore City,2022-11-02,Incident Closed-Managed,
847,848,120144,He smells an industrial odor in the residential neighborhood.,Odor,2022-10-15,2022-10-15,Baltimore City,2022-11-02,Incident Closed-Managed,
848,849,120143,He smells an industrial odor in the residential neighborhood.,Odor,2022-10-14,2022-10-14,Baltimore City,2022-11-02,Incident Closed-Managed,
849,850,120142,He smells an industrial odor in the residential neighborhood.,Odor,2022-10-12,2022-10-12,Baltimore City,2022-11-02,Incident Closed-Managed,
850,851,120141,He smells an industrial odor in the residential neighborhood.,Odor,2022-10-11,2022-10-11,Baltimore City,2022-11-02,Incident Closed-Managed,
851,852,120140,Burning plastics in a fire pit and creating a nuisance.,Open Burning,2022-11-01,2022-10-31,Worcester,2022-11-01,Incident Closed-No Violation Observed,21851
852,853,120138,Request for information,Other,2022-10-28,,Not Yet Determined,,Incident Not Applicable to MDE,
853,854,120137,Cement van creating dust?,Fugitive Dust/Particulate Matter,2022-10-28,,Not Yet Determined,2022-11-01,Incident Closed-Managed,
854,855,120134,Dust from dragging race track without water,Fugitive Dust/Particulate Matter,2022-10-24,2022-10-22,Worcester,2022-11-02,Incident Closed-Managed,21851
855,856,120134,Dust from dragging race track without water,Fugitive Dust/Particulate Matter,2022-10-24,2022-10-22,Worcester,2022-11-02,Incident Closed-Managed,21851
856,857,120119,Cinnamon and Cumin odors in Timonium.,Odor,2022-10-21,,Baltimore,2022-10-24,Incident Closed - No further action,
857,858,120110,Smoke from open burning,Air,2022-10-20,2022-10-19,Anne Arundel,2022-10-20,Incident Closed-Managed,
858,859,120109,Indoor air concerns.,Air,2022-10-20,2022-10-18,Anne Arundel,2022-10-20,Incident Closed-No Violation Observed,
859,860,120108,Open burning,Smoke,2022-10-19,,Harford,2022-10-20,Incident Closed - No further action,
860,861,120107,Venting freon,Air Pollutant Release,2022-10-18,,Harford,,Referred to Outside Agency,21050
861,862,120104,concerns of open burning and lotsa work on cars,Other,2022-10-17,2022-10-17,Prince George's,2022-10-19,Incident Closed-Managed,
862,863,120102,Smoke from crematory stack,Smoke,2022-10-17,2022-10-15,Baltimore,2022-11-01,Incident Closed-No Violation Observed,21228
863,864,120101,Dust from builder,Fugitive Dust/Particulate Matter,2022-10-14,,Baltimore,2022-10-19,Incident Closed-No Violation Observed,
864,865,120100,Dust from sandblasting vehicles.,Air,2022-10-17,2022-10-17,Frederick,,Under Investigation,
865,866,120088,Painting without a booth,Other,2022-10-07,,Baltimore,2022-10-12,Incident Closed-No Violation Observed,21030
866,867,120085,Refrigerant release,Air Pollutant Release,2022-10-07,,Baltimore,,Referred to Outside Agency,
867,868,120082,Auto body shop being operated out of residence. The site is paint spraying vehicles.,"Air, Fumes, Odor",2022-09-15,2022-09-15,Carroll,,Referred to Outside Agency,21797
868,869,120080,He has a question about a mold report.,ARA AQCP non-regulated entity,2022-10-06,2022-10-06,Baltimore City,2022-10-07,Incident Closed - No further action,
869,870,120078,Neighbor is using an outdoor grill in an enclosed patio causing smoke to be created between 10PM – 3AM.,Smoke,2022-09-30,2022-09-30,Baltimore City,2022-10-07,Incident Closed-Managed,
870,871,120077,He smells an industrial odor in the residential neighborhood.,Odor,2022-09-30,2022-09-30,Baltimore City,2022-10-07,Incident Closed-Managed,
871,872,120076,Neighbor is using an outdoor grill in an enclosed patio causing smoke to be created between 10PM – 3AM.,Smoke,2022-09-28,2022-09-28,Baltimore City,2022-10-07,Incident Closed-Managed,
872,873,120075,He smells an industrial odor in the residential neighborhood.,Odor,2022-09-21,2022-09-21,Baltimore City,2022-10-07,Incident Closed-Managed,
873,874,120074,He smells an industrial odor in the residential neighborhood.,Odor,2022-09-17,2022-09-17,Baltimore City,2022-10-07,Incident Closed-Managed,
874,875,120071,Smoke from burning yard brush in fire in neighbor's yard.,Air,2022-10-07,2022-10-06,Anne Arundel,2022-10-13,Incident Closed-Managed,
875,876,120067,Company is improperly disposing of refrigerants. Employees do not have required refrigerant certifications.,"Air, Air Pollutant Release",2022-10-03,2022-10-03,Carroll,,Referred to Outside Agency,21048
876,877,120066,Roofing dust/ material inside home from skylight install. Concerned with type of material in dust.,"Air, Fugitive Dust/Particulate Matter",2022-10-05,2022-10-05,Montgomery,2022-10-05,Incident Closed - No further action,
877,878,120058,Complainant detects odor inside his house.,Air,2022-10-03,2022-09-28,Anne Arundel,2022-10-03,Incident Closed-No Violation Observed,
878,879,120057,Smoke from truck driving on road. Smoke can be detected from their property.,Air,2022-10-03,2022-09-28,Frederick,2022-10-03,Incident Closed - No further action,
879,880,120056,Dust from sandblasting and solvent odor creating a nuisance off site.,Fugitive Dust/Particulate Matter,2022-09-29,2022-09-29,Wicomico,2022-10-04,Incident Closed-No Violation Observed,21801
880,881,120049,Neighbor is burning,Fumes,2022-09-28,,Baltimore,2022-09-29,Incident Closed-Managed,
881,882,120048,Neighbor is open burning.,Fumes,2022-09-27,,Baltimore,2022-09-28,Incident Closed-Managed,
882,883,120047,Lead Paint,Lead Paint Poisoning Complaint,2022-09-16,2022-09-16,Washington,,Referred to LMA,21740
883,884,120043,Open Burning,Open Burning,2022-09-15,2022-09-15,Garrett,2022-09-27,Incident Closed - No further action,
884,885,120042,Blasting rocks in the field next to 5929 Meadow Road.  Medical facilities to be built. Water suppression started to be used last week.  Dust issue began in August of 2022,Air,2022-09-26,2022-09-26,Frederick,2022-10-06,Incident Closed-No Violation Observed,
885,886,120040,Fugitive dust from a nearby construction site.,Fugitive Dust/Particulate Matter,2022-09-23,,Harford,2022-09-26,Incident Closed-No Violation Observed,
886,887,120037,concern of air conditioner use in Howard county public school,Other,2022-09-21,2022-09-21,Howard,2022-09-26,Incident Closed-Managed,
887,888,120036,Neighbor is cleaning their roof,Fumes,2022-09-23,,Baltimore,2022-09-23,Incident Closed-Managed,
888,889,110035,Water Supply Contamination,Drinking Water,2022-09-14,2022-09-14,Allegany,,Referred to WMA,21502
889,890,110033,Dust from sandblasting.  Sanding vehicle inside building.  Dust exiting building and creating dust cloud outside.,Air,2022-09-22,2022-09-22,Frederick,2022-09-22,Incident Closed-Managed,
890,891,110032,Painting outside.,Other,2022-09-20,,Baltimore,2022-10-04,Incident Closed-Managed,21220
891,892,110031,Dust from sandblasting.  Vehicle sandblasted inside of building and dust going outside.,Air,2022-09-22,2022-09-21,Frederick,2022-09-22,Incident Closed-Managed,
892,893,110029,He smells an industrial odor in the residential neighborhood.,Odor,2022-09-16,2022-09-16,Baltimore City,2022-09-20,Incident Closed-Managed,
893,894,110028,He smells an industrial odor in the residential neighborhood.,Odor,2022-09-12,2022-09-12,Baltimore City,2022-09-20,Incident Closed-Managed,
894,895,110027,He smells an industrial odor in the residential neighborhood.,Odor,2022-09-11,2022-09-11,Baltimore City,2022-09-20,Incident Closed-Managed,
895,896,110026,He smells an industrial odor in the residential neighborhood.,Odor,2022-09-10,2022-09-10,Baltimore City,2022-09-20,Incident Closed-Managed,
896,897,110025,He smells an industrial odor in the residential neighborhood.,Odor,2022-09-09,2022-09-09,Baltimore City,2022-09-20,Incident Closed-Managed,
897,898,110024,He smells an industrial odor in the residential neighborhood.,Odor,2022-09-08,2022-09-08,Baltimore City,2022-09-20,Incident Closed-Managed,
898,899,110023,She smells sewage from nearby school.,Odor,2022-09-06,2022-09-06,Baltimore City,2022-09-20,Incident Closed-Managed,
899,900,110022,He smells an industrial odor in the residential neighborhood.,Odor,2022-09-07,2022-09-07,Baltimore City,2022-09-20,Incident Closed-Managed,
900,901,110021,He smells an industrial odor in the residential neighborhood.,Odor,2022-09-06,2022-09-06,Baltimore City,2022-09-20,Incident Closed-Managed,
901,902,110020,He smells an industrial odor in the residential neighborhood.,Odor,2022-09-05,2022-09-05,Baltimore City,2022-09-20,Incident Closed-Managed,
902,903,110019,He smells an industrial odor in the residential neighborhood.,Odor,2022-09-04,2022-09-04,Baltimore City,2022-09-20,Incident Closed-Managed,
903,904,110018,He smells an industrial odor in the residential neighborhood.,Odor,2022-09-03,2022-09-03,Baltimore City,2022-09-20,Incident Closed-Managed,
904,905,110017,He smells an industrial odor in the residential neighborhood.,Odor,2022-09-02,2022-09-02,Baltimore City,2022-09-20,Incident Closed-Managed,
905,906,110016,He smells an industrial odor in the residential neighborhood.,Odor,2022-08-29,2022-08-29,Baltimore City,2022-09-20,Incident Closed-Managed,
906,907,110015,He smells an industrial odor in the residential neighborhood.,Odor,2022-08-28,2022-08-28,Baltimore City,2022-09-20,Incident Closed-Managed,
907,908,110014,He smells an industrial odor in the residential neighborhood.,Odor,2022-08-27,2022-08-27,Baltimore City,2022-09-20,Incident Closed-Managed,
908,909,110013,He smells an industrial odor in the residential neighborhood.,Odor,2022-08-21,2022-08-21,Baltimore City,2022-09-20,Incident Closed-Managed,
909,910,110012,He smells an industrial odor in the residential neighborhood.,Odor,2022-08-18,2022-08-18,Baltimore City,2022-09-20,Incident Closed-Managed,
910,911,110011,Bad odors from chicken or pig farm for several months.,Odor,2022-09-20,2022-09-20,Caroline,,Incident Not Applicable to MDE,
911,912,110010,Nuisance smoke from neighbor burning in a fire pit.,Smoke,2022-09-20,2022-09-20,Worcester,2022-09-20,Incident Closed-Managed,21851
912,913,110009,Smoke from open burning blowing onto elementary school.,Open Burning,2022-09-02,2022-09-01,Somerset,2022-09-02,Incident Closed-No Violation Observed,21853
913,914,110003,Dust from sandblasting commercial vehicles and parts outside.  Department notified of dust occurring today.,Air,2022-09-19,2022-09-19,Frederick,2022-09-19,Incident Closed-Managed,21757
914,915,109998,Burning of leaves in backyard firepit creating smoke.,Air,2022-09-15,2022-09-15,Anne Arundel,2022-09-15,Incident Closed-Managed,
915,916,109996,glue like odor from apartment building in Hanover,Other,2022-09-14,2022-09-14,Howard,2022-09-14,Incident Closed-Managed,
916,917,109994,Emission coming off the asphalt plant,Other,2022-09-09,2022-09-09,Howard,2022-09-14,Incident Closed-Managed,21075
917,918,109987,"Complaints of Fugitive Dusting at Holcim Hagerstown Plant. See ""CIN20220002 Holcim Complaint Inspection - 8/29/2022"" for a report that describes the complaints and the complaint response by MDE.",Fugitive Dust/Particulate Matter,2022-08-21,2022-08-18,Washington,,Referred to ARA,21742
918,919,109981,Overspray from sandblasting and painting.  Dust escaping building.,Air,2022-09-12,2022-09-12,Frederick,2022-11-01,Incident Closed-Managed,21757
919,920,109975,Concerns regarding indoor air quality in newly built home,"Air, Fumes, Odor",2022-09-08,2022-09-08,Montgomery,2022-09-09,Incident Closed - No further action,
920,921,109967,painting without paintbooth,Other,2022-09-07,2022-09-07,Prince George's,2022-09-07,Incident Closed-Managed,20787
921,922,109966,painting without paint booth,Other,2022-09-02,2022-09-02,Prince George's,2022-10-12,Incident Closed-Managed,20787
922,923,109965,Odor Complaint,Odor,2022-09-07,2022-08-27,Dorchester,2022-08-27,Incident Closed - No further action,21835
923,924,109964,Mold and rodent infestation in apartment,Other,2022-09-06,2022-09-06,Prince George's,2022-09-07,Incident Closed-Managed,
924,925,109963,Odor Complaint,Odor,2022-09-01,2022-09-01,Anne Arundel,2022-09-01,Incident Closed - No further action,21226
925,926,109957,Odor from cat urine in townhouse neighborhood.,Air,2022-09-02,2022-09-01,Anne Arundel,2022-09-02,Incident Closed - No further action,
926,927,109955,Barrels of unknown chemical stored outside of closed dry cleaning shop,Waste,2022-08-29,2022-08-29,Montgomery,,Referred to LMA,20910
927,928,109945,Open Burning,Open Burning,2022-08-25,2022-08-25,Allegany,2024-01-31,Incident Closed - No further action,21502
928,929,109944,Smoke,Smoke,2022-08-24,2022-08-24,Allegany,,Referred to Outside Agency,26726
929,930,109941,Odor Complaint,Odor,2022-08-29,2022-08-21,Dorchester,2022-08-21,Incident Closed - No further action,21835
930,931,109940,Odor Complaint,Odor,2022-08-29,2022-08-20,Dorchester,2022-08-20,Incident Closed - No further action,21835
931,932,109935,Smoke from burning leaves and tree branches.,Air,2022-08-29,2022-08-26,Anne Arundel,2022-08-29,Incident Closed-Managed,
932,933,109919,strong odor industrial smell in Cheverly area,Other,2022-08-19,2022-08-19,Prince George's,2022-08-31,Incident Closed-Managed,20785
933,934,109910,Water Issue,Other,2022-08-19,,Baltimore,2022-08-23,Incident Closed-Managed,
934,935,109903,He smells an industrial odor in the residential neighborhood.,Odor,2022-08-16,2022-08-16,Baltimore City,2022-08-19,Incident Closed-Managed,
935,936,109902,He smells an industrial odor in the residential neighborhood.,Odor,2022-08-15,2022-08-15,Baltimore City,2022-08-19,Incident Closed-Managed,
936,937,109901,He smells an industrial odor in the residential neighborhood.,Odor,2022-08-14,2022-08-14,Baltimore City,2022-08-19,Incident Closed-Managed,
937,938,109900,Air indoors is making her feel dizzy.,Air,2022-08-04,2022-08-04,Baltimore,2022-08-19,Incident Closed - No further action,
938,939,109899,He smells an industrial odor in the residential neighborhood.,Odor,2022-08-03,2022-08-03,Baltimore City,2022-08-19,Incident Closed-Managed,
939,940,109898,That auto repair shop is causing odors.,Odor,2022-07-29,2022-07-29,Baltimore City,2022-08-19,Incident Closed-Managed,
940,941,109896,concerns of mold issue at workplace,Other,2022-08-11,2022-08-11,Prince George's,2022-08-19,Incident Closed-Managed,
941,942,99896,Indoor air quality concerns,"Air, Fumes, Odor",2022-08-16,2022-08-16,Montgomery,2022-08-18,Incident Closed - No further action,
942,943,99893,Neighbor open burning of trash,Open Burning,2022-08-10,2022-08-10,Carroll,,Referred to Outside Agency,21158
943,944,99879,Body shop is being operated out of home. Cars being painted.,"Air, Fumes, Odor",2022-08-11,2022-08-11,Montgomery,,Referred to Outside Agency,20905
944,945,99876,Neighbor is burning,Smoke,2022-08-10,,St. Mary's,2022-08-12,Incident Closed - No further action,
945,946,99868,Dust from Construction Site,Fugitive Dust/Particulate Matter,2022-08-08,2022-08-08,Washington,2022-10-24,Incident Closed-Managed,21740
946,947,99867,Sediment/Erosion Issue @ Construction Site,Sediment/ Stormwater Problem,2022-08-05,2022-08-05,Allegany,,Referred to WMA,21532
947,948,99863,Dust from dragging race track without using a water truck.,Fugitive Dust/Particulate Matter,2022-08-08,2022-08-08,Worcester,,Under Investigation,21851
948,949,99862,Dust from dragging race track without using a water truck.,Fugitive Dust/Particulate Matter,2022-07-28,2022-07-28,Worcester,,Under Investigation,21851
949,950,99845,Odor from neighbor smoking in his shed that is close to his property line.,Air,2022-08-05,2022-07-22,Anne Arundel,2022-08-01,Incident Closed-No Violation Observed,
950,951,99843,Odor Complaint,Odor,2022-08-04,2022-07-26,Dorchester,2022-07-26,Incident Closed - No further action,21835
951,952,99842,Odor Complaint,Odor,2022-08-04,2022-07-16,Dorchester,2022-07-16,Incident Closed - No further action,21835
952,953,99841,Odor Complaint,Odor,2022-08-04,2022-07-16,Dorchester,2022-07-16,Incident Closed - No further action,21835
953,954,99826,Dust from Gas Line Replacement Project,Fugitive Dust/Particulate Matter,2022-07-22,2022-07-22,Allegany,2022-10-24,Incident Closed-Managed,21532
954,955,99816,"That there is an air quality issue in his area the last few days, not sure if it is weather related.",Air,2022-07-22,2022-07-22,Baltimore City,2022-07-29,Incident Closed-Managed,
955,956,99815,He smells an industrial odor in the residential neighborhood.,Odor,2022-07-17,2022-07-17,Baltimore City,2022-07-29,Incident Closed-Managed,
956,957,99814,He smells an industrial odor in the residential neighborhood.,Odor,2022-07-15,2022-07-15,Baltimore City,2022-07-29,Incident Closed-Managed,
957,958,99813,Air quality in apartment from carpeting.,Fumes,2022-07-27,2022-07-27,Baltimore,,Incident Not Applicable to MDE,
958,959,99801,Questions/ Concerns regarding neighbor's fire pit.,"Air, Open Burning",2022-07-12,2022-07-12,Montgomery,,Referred to Outside Agency,
959,960,99799,Unknown chemical outside of home is causing severe health issues.,"Air, Fumes",2022-07-18,2022-06-21,Montgomery,,Referred to Outside Agency,20902
960,961,99798,Question about air vents,Other,2022-07-25,2022-07-25,Prince George's,2022-07-25,Incident Closed-Managed,
961,962,99791,Odor Complaint,Odor,2022-07-25,2022-07-17,Baltimore City,2022-07-17,Incident Closed - No further action,21224
962,963,99786,Odor in area around Beachwood Road,Odor,2022-07-21,2022-07-18,Baltimore,2023-02-13,Incident Closed-Managed,21222
963,964,99785,paint booth does not have proper safety requirements and ventilation,"Air, Fumes, Odor",2022-07-18,2022-06-29,Montgomery,2022-07-20,Incident Closed-Managed,20852
964,965,99784,Paint booth is not vented and is affecting other tenants,"Air, Fumes, Odor",2022-07-18,2022-06-12,Montgomery,2022-07-20,Incident Closed-Managed,20852
965,966,99783,He smells an industrial odor in the residential neighborhood.,Odor,2022-07-10,2022-07-10,Baltimore City,2022-07-20,Incident Closed-Managed,
966,967,99782,He smells an industrial odor in the residential neighborhood.,Odor,2022-07-09,2022-07-09,Baltimore City,2022-07-20,Incident Closed-Managed,
967,968,99781,He smells an industrial odor in the residential neighborhood.,Odor,2022-07-08,2022-07-08,Baltimore City,2022-07-20,Incident Closed-Managed,
968,969,99780,He smells an industrial odor in the residential neighborhood.,Odor,2022-07-06,2022-07-06,Baltimore City,2022-07-20,Incident Closed-Managed,
969,970,99779,loud noise in the Cheverly area,Other,2022-06-28,2022-06-28,Prince George's,,Referred to Outside Agency,
970,971,99778,strong gasoline smell in the area,Other,2022-07-18,2022-07-18,Prince George's,,Referred to Outside Agency,
971,972,99772,Dust from dragging horse track.,Fugitive Dust/Particulate Matter,2022-07-18,2022-06-05,Worcester,2022-07-26,Incident Closed-Managed,21851
972,973,99771,Dust from dragging horse track,Fugitive Dust/Particulate Matter,2022-07-19,2022-06-05,Worcester,,Under Investigation,
973,974,99769,Spray paint overspray.  No ground or air containment.  Containers and fuel cans not properly stored.,Air,2022-07-19,2022-07-19,Anne Arundel,2022-07-19,Incident Closed-No Violation Observed,21122
974,975,99765,Asbestos in Building,Asbestos Complaint,2022-07-18,2022-07-13,Allegany,,Referred to ARA,21562
975,976,99764,"HVAC Company discarding AC units, wrapped in camo tarps in the woods and fluids leaking.  Streams nearby.",Air,2022-07-18,2022-07-15,Anne Arundel,2022-07-15,Incident Closed - No further action,
976,977,99760,Wants CO Detectors,Other,2022-07-13,2022-07-13,Allegany,2022-07-15,Incident Closed - No further action,
